nbSyll;pron;origin;warning;remarques;POS;lineId;pageId
3;aʹbăcus;;;;n.;2.0;19
2;ăbăʹft;;;;p.;3.0;19
3;ăbaiʹſănce;F.;;;n.;4.0;19
3;ābăʹndon;F.;;;v.;5.0;19
4;ābăʹndŏned;;;;a.;6.0;19
2;ăbāsʹe;F.;;;v.;7.0;19
3;ăbāʹſ_e_ment;F.;;;n.;8.0;19
2;ăbăʹſh;F.;;;v.;9.0;19
2;ăbāʹte;F.;;;v.;10.0;19
3;ăbāʹt_e_ment;F.;;;n.;11.0;19
2;ăʹbbĕſs;;;;n.;12.0;19
2;ăʹbbey;;;;n.;13.0;19
2;ăʹbbŏt;;;;n.;14.0;19
4;ăbbrĕʹvĭāte;L.;;;v.;15.0;19
6;ăbbrevĭāʹtion;L.;;;n.;16.0;19
3;ăʹbdicāte;L.;;;v.;17.0;19
3;ăbdōʹmen;;;;n.;18.0;19
2;ăbĕʹt;;;;v.;19.0;19
3;ăbĕʹtment;;;;n.;20.0;19
3;ăbĕʹttor;;;;n.;21.0;19
3;ăbeʹyănce;F.;;;n.;22.0;19
2;ăbhŏʹr;L.;;;v.;23.0;19
3;ăbhŏʹrrence;;;;n.;24.0;19
2;ābīʹde;;;;v.;25.0;19
2;ăʹbject;L.;;;a.;26.0;19
4;abĭʹlĭty;;;;n.;27.0;19
4;ăbĭntĕʹſtāte;;;;n.;28.0;19
5;ăbjūrāʹtion;L.;;;n.;29.0;19
2;ăbjūʹre;L.;;;v.;30.0;19
4;ăblāʹtion;L.;;;n.;31.0;19
3;ăʹblătive;L.;;;n.;32.0;19
3;ăʹblĕpſy;G.;;;n.;33.0;19
4;ăblūʹtion;L.;;;n.;34.0;19
5;ăbnegātion;L.;nbSyll>1 et pas d'accent tonic;;n.;35.0;19
2;ăʹboard;;;;p.;36.0;19
2;ābōʹde;;;;n.;37.0;19
3;ăbŏʹlĭſh;L.;;;v.;2.0;20
4;ăbŏʹmĭnāte;L.;;;v.;3.0;20
