char;occ;graph
a;3207;a
ʹ;12725;
b;2288;b
ă;4533;a
c;5500;c
u;1623;u
s;2935;s
f;1809;f
t;8790;t
i;3783;i
ſ;4329;s
n;8612;n
e;8952;e
ā;2079;a
d;3758;d
o;3838;o
ŏ;2797;o
_;4124;
m;3639;m
h;2383;h
ĕ;4262;e
y;1952;y
r;9245;r
v;1477;v
ĭ;5281;i
ō;542;o
ī;1002;i
j;251;j
l;6260;l
ū;1321;u
p;3775;p
g;2604;g
ȯ;371;o
̇;266;o
ŭ;2085;u
ē;493;e
w;796;w
˘;36;
k;717;k
q;270;q
x;406;x
ẇ;96;w
̆;132;o
æ;11;æ
z;214;z
-;31;-
è;73;e
о;20;o
у;3;y
ȳ;43;y
ė;83;e
ȧ;54;a
 ;57; 
(;28;
);28;
é;7;e
а;2;a
г;1;r
í;2;i
˙;3;
â;5;a
à;4;a
ë;2;e
.;22;
ô;4;o
D;1;d
ó;1;o
";";3;
á;1;a
I;1;l
х;2;x
р;1;p
ï;1;i
